sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
Right to access : You have the right to access and a request a copy of your data which have been gathered . 	NaN	NaN	NaN	NaN
Request access to your personal data ( commonly known as a data subject access request ) : This enables you to receive a copy of the personal data we hold about you and to check that we are lawfully processing it . 	NaN	NaN	NaN	NaN
Access the personal data we hold about you . 	NaN	NaN	NaN	NaN
Request access to your personal data ( commonly known as a data subject access request ) . 	NaN	NaN	NaN	NaN
You may request access to the personal information we hold about you and that we amend or delete it 	NaN	NaN	NaN	NaN
our right to access , correct 	NaN	NaN	NaN	NaN
Subject to certain exemptions provided for under the Privacy Laws , you have a right to access Personal Information we hold about you . 	NaN	NaN	NaN	NaN
A simple request from you will oblige us to give you full access to the personal information that we have stored about you . 	NaN	NaN	NaN	NaN
We provide you with account tools to access 	['access']	NaN	NaN	['account tools']
We make good faith efforts to give you a right to access your personal information to have errors in your personal information rectified , 	NaN	NaN	NaN	NaN
you may check what data we store about you , for this purpose please load Terms & Privacy from your Game settings and follow instructions in section Request a Summary of Personal Data in Privacy Policy ( available to EEA-based users only ) ) 	NaN	NaN	NaN	NaN
Right of access : You have a right to ask whether or not we have personal data about You and , if that is the case , request information on what personal data we have about You and why and how we process it . 	NaN	NaN	NaN	NaN
Right of access : You have the right to receive confirmation from us whether any personal data related to you is processed and , if this is the case , you have the right to access the personal data and receive information of how it is being processed 	NaN	NaN	NaN	NaN
Right of rectification : You have the right to obtain from us without undue delay the rectification of inaccurate personal data concerning you 	NaN	NaN	NaN	NaN
Taking into account the purposes of the processing , you have the right to have incomplete personal data completed , including by means of providing a supplementary statement 	NaN	NaN	NaN	NaN
If you realize that the personal information about you which we store is incorrect or incomplete , please contact us using the contact information below . 	NaN	NaN	NaN	NaN
As a Tandem user , you have the right to access , rectification , right to object , to complaint , erasure and blockage 	NaN	NaN	NaN	NaN
You have the right to request information about whether and which personal data is processed by our company 	NaN	NaN	NaN	NaN
You have the right to access personal information we hold about you , how we use it , and who we share it with 	NaN	NaN	NaN	NaN
You can access the personal information you have made available as part of your account by logging into your Game account 	['access']	['the personal information']	['log']	['your game account']
You have the right to access the Personal Information we hold about you in order to verify the Personal Information we have collected in respect to you and to have a general account of our uses of that information . 	NaN	NaN	NaN	NaN
You may have rights under European and other laws to have access to your personal information and to ask us to rectify , erase and restrict use of , your personal information . 	NaN	NaN	NaN	NaN
Right of subject access : The right to make a written request for details of your personal information and a copy of that personal information 	NaN	NaN	NaN	NaN
If you are a registered user , you can access most information associated with your Account by logging into the Services and checking your Account Settings page 	NaN	NaN	NaN	NaN
You can access and review information associated with your account at any time through the Settings page or tab 	NaN	NaN	NaN	NaN
Other methods of accessing or controlling your information 	NaN	NaN	NaN	NaN
If under applicable law , you have the right to access Information held about you , such right of access can be exercised in accordance with the applicable law 	NaN	NaN	NaN	NaN
You have the right to access your Personal Data and to request that it be corrected , completed or updated 	NaN	NaN	NaN	NaN
You can access much of your information by logging into your account . 	['access']	NaN	['log']	['your account']
Whenever you use our services , we aim to provide you with access to your personal information . 	NaN	NaN	NaN	NaN
Right of access ( right to obtain from CarX Technologies Limited as the controller confirmation as to whether Your personal data are being processed and other information concerning Your personal data , including information about the purposes of processing , the categories of processed personal data , the categories of recipients of Your personal data , the period of personal data storage , the existence of automated decision-making , including profiling , in respect of Your personal data ) ; 	NaN	NaN	NaN	NaN
confirm whether we are processing your personal data ; 	NaN	NaN	NaN	NaN
Parents have the right to access their child  s information , 	NaN	NaN	NaN	NaN
Right to Access your information 	NaN	NaN	NaN	NaN
You may be entitled to request copies of personal information that you have provided to us in a structured , commonly used , and machine-readable format . 	NaN	NaN	NaN	NaN
If you would like to submit a data access request , you can do so from the  Settings ? page of the Services , where there is a button to download your data 	NaN	NaN	NaN	NaN
Access personal data we hold about you 	NaN	NaN	NaN	NaN
You have the right to request access to your Personal Data collected through our Services 	NaN	NaN	NaN	NaN
( i ) a right to access your information as held by us ; 	NaN	NaN	NaN	NaN
request access to all personal data we process about you ; 	NaN	NaN	NaN	NaN
You may be entitled to access personally identifiable information held about you , subject to certain exemptions in accordance with the applicable data protection law . 	NaN	NaN	NaN	NaN
We reserve the right to review the content of your messages , including by using automatic filters 	NaN	NaN	NaN	NaN
You have a right to know what information we hold about you and in some cases to have the information communicated to you . 	NaN	NaN	NaN	NaN
to access personal data we hold on you ; 	NaN	NaN	NaN	NaN
? Provide access to and/or a copy of certain information we hold about you ; 	NaN	NaN	NaN	NaN
You have the right to request , free of charge at any time , information regarding the personal data concerning you that is stored by YAZIO , the origin and recipients of such data , the purpose of data processing , the planned duration of data storage and a copy of the personal data that are being processed ( Art 	NaN	NaN	NaN	NaN
We strive to let you access and control the personal information that we have about you . 	NaN	NaN	NaN	NaN
When you use ICBC Business services , you can inquire about your personal information via the function we provide 	NaN	NaN	NaN	NaN
You have the right to access information held about you 	NaN	NaN	NaN	NaN
If you are located in the EEA , you have the right to request access and receive information about the Personal Information we maintain about you 	NaN	NaN	NaN	NaN
Right of access : If you ask us , we will confirm whether we are processing your Personal Data and , if so , provide you with a copy of that Personal Data along with certain other details . 	NaN	NaN	NaN	NaN
The right to request access 	NaN	NaN	NaN	NaN
In accordance to Article 15 of the GDPR you may request access to processed Personal Data . 	NaN	NaN	NaN	NaN
This includes confirmation as to whether or not personal data concerning him or her are being processed , and , where that is the case , access to the personal data and the following information : 	NaN	NaN	NaN	NaN
At any time , you may contact Lion at the address provided in the ??Contact Lion Studios?? section herein and request to access the personal data that Lion holds about you 	NaN	NaN	NaN	NaN
Accessing Your Personal Information 	NaN	NaN	NaN	NaN
You have the right to access your personal information , except in exceptional circumstances provided for by laws and legislations 	NaN	NaN	NaN	NaN
If you have a Medium account , you can access , modify or export your personal information , or delete your account here . 	NaN	NaN	NaN	NaN
You may request access to any Personal Information maintained on you by MuseScore at any time by emailing -Email- 	NaN	NaN	NaN	NaN
Access : You can request more information about the Personal Data we hold about you and request a copy of such Personal Data . 	NaN	NaN	NaN	NaN
You can also access certain of your Personal Data by accessing your profile Settings within Amino or by emailing a request to -Email- with the subject ,  Personal Data Access , ? explaining your request . 	['access']	NaN	['access']	['your profile', 'settings', 'amino']
( 1 ) Right of access ( right to obtain from Nekki Limited as the controller confirmation as to whether Your personal data are being processed and other information concerning Your personal data , including information about the purposes of processing , the categories of processed personal data , the categories of recipients of Your personal data , the period of personal data storage , the existence of automated decision-making , including profiling , in respect of Your personal data ) ; 	NaN	NaN	NaN	NaN
For example , in the EU ( particularly under the new GDPR ) you have the right to access and obtain a copy of your personal data we possess ; 	NaN	NaN	NaN	NaN
We make good faith efforts to provide you with access to the personal information you provide to us ( information associated with your account ) . 	NaN	NaN	NaN	NaN
In addition , you can request access to your personal information , request that any inaccuracies be corrected , and request that comments or explanations be added to records about you . 	NaN	NaN	NaN	NaN
How to Access Your Information 	NaN	NaN	NaN	NaN
You have the right to see what personally identifiable information we hold about you if you request it 	NaN	NaN	NaN	NaN
Your right of access can be exercised in accordance with the Hong Kong Law on Legal Protection of Personal Data . 	NaN	NaN	NaN	NaN
Any access request may be subject to a small administrative fee to meet our costs in providing you with details of the information we hold about you . 	NaN	NaN	NaN	NaN
You have the right to request access into the data that we are processing on you , see Article 15 of the GDPR , including information about : 	NaN	NaN	NaN	NaN
Please note that the access may be restricted due to intellectual property or trade secrets . 	NaN	NaN	NaN	NaN
You have the right to access your personal data , which we process.In order to access your personal data , please , send us a message describing your request through our help service within the Game . 	NaN	NaN	NaN	NaN
You also have a right , upon your request , to access information about any evaluation or assessment of the balancing test we are required to conduct when we process your Personal Information based on our legitimate interest . 	NaN	NaN	NaN	NaN
Right of access : you can request a copy of your data 	NaN	NaN	NaN	NaN
and can also contact us for individual rights requests about your personal data 	NaN	NaN	NaN	NaN
Applicable privacy laws may give you the right to review the personal information we keep about you ( depending on the jurisdiction , this may be called right of access , right of portability or variations of those terms ) 	NaN	NaN	NaN	NaN
You may have the right to confirm that we are processing and gain access to your Personal Data . 	NaN	NaN	NaN	NaN
You have a right to access information held about you . 	NaN	NaN	NaN	NaN
Users in certain jurisdictions have a right to access personal information held about themselves 	NaN	NaN	NaN	NaN
the right to request access to personal data about the user ; 	NaN	NaN	NaN	NaN
? Access : You may access the Personal Data we hold about you at any time via your Account or by contacting us directly . 	NaN	NaN	NaN	NaN
Request access to information that Dingtone has about you 	NaN	NaN	NaN	NaN
You have the right to access your Personal Information . 	NaN	NaN	NaN	NaN
Request more information about the research activities you have volunteered for . 	NaN	NaN	NaN	NaN
Upon request , we will provide you with access to the personal information that we hold about you 	NaN	NaN	NaN	NaN
Right to request access 	NaN	NaN	NaN	NaN
You have the right to access personal data we hold about you and to ask that this data be corrected 	NaN	NaN	NaN	NaN
You have the right to request access to your personal data 	NaN	NaN	NaN	NaN
Right to request access You have the right to request access into the data that we are processing on you , see Article 15 of the GDPR , including information about : the purposes of the processing the categories of personal data concerned the recipients or categories of recipient to whom the personal data have been or will be disclosed the envisaged period for which the personal data will be stored Furthermore , you have the right to obtain a copy of the personal data undergoing processing 	NaN	NaN	NaN	NaN
The right to data portability You have the right to receive the personal data you have provided us with which we process in a structured , commonly used and machine-readable format and have the right to transmit those data to another controller if the processing is based on consent or contract performance , see Article 20 of the GDPR 	NaN	NaN	NaN	NaN
At any time , you may contact Homa at the address provided in the Contact Homa Games section herein and request to access the personal data that Homa holds about you 	NaN	NaN	NaN	NaN
Information You Can Access Examples of information you can access easily at Amazon.com include up-to-date information regarding recent orders ; personally identifiable information ( including name , e-mail , password , communications and personalized advertising preferences , address book , and 1-Click settings ) ; payment settings ( including credit card information and promotional certificate and gift card balances ) ; e-mail notification settings ( including Product Availability Alerts , Delivers , and newsletters ) ; Recommendations ( including Recommended for You and Improve Your Recommendations ) ; shopping lists and gift registries ( including Wish Lists and Baby and Wedding Registries ) ; Seller accounts ; and Your Profile ( including your product Reviews , Recommendations , Listmania lists , Reminders , personal profile , and Wish List ) 	['access']	NaN	NaN	['amazon.com']
We respect the rights you may have under applicable law to request access to your personal information and where applicable , to request to receive that information in a commonly used electronic format ( or ask for this information to be provided in that format to a third party where feasible ) 	NaN	NaN	NaN	NaN
We may also offer you the ability to import your address book contacts or manually enter e-mail addresses so that you can ( i ) locate your contacts on Playdemic ; and ( ii ) invite those contacts to join you in our games 	NaN	NaN	NaN	NaN
Right to Access Users in certain jurisdictions have a right to access personal information held about themselves 	NaN	NaN	NaN	NaN
Your right of access can be exercised in accordance with applicable law 	NaN	NaN	NaN	NaN
What are your rights ? You have several rights to your Personal Information under GDPR : Right of access You have the right to access your Personal Information by making a request in writing to Us 	NaN	NaN	NaN	NaN
You may request details of personal information which we hold about you under the Data Protection Act 1998 	NaN	NaN	NaN	NaN
In order to enable you to exercise these rights with ease and to record your preferences in relation to how Spotify uses your personal data , we provide you with access to the following settings via your Account Settings page : Privacy Settings - allows you to control some of the categories of personal data we process about you , enables you to access your personal data via a  Download my Data ? button , and includes a link to the Privacy Center on spotify.com where you can find out more information about how Spotify uses your personal data and what your rights are ; and , Notification Settings - allows you to choose which communications you receive from Spotify , manage your publicly available personal data , and set your sharing preferences 	['enable', 'exercise', 'record', 'access']	['these rights', 'your preferences', 'your personal data', 'access', 'your rights']	NaN	['ease', 'relation', 'the following settings']
